Extreme,sig,Year
2.85866398212215,0,1901
2.8170782192412642,0,1902
2.803577263487087,0,1903
2.7801364897516736,0,1904
2.7762877687288428,0,1905
2.8290471712679963,0,1906
2.790084261855354,0,1907
2.7966386176795983,0,1908
2.778772091898559,0,1909
2.830196040169189,0,1910
2.800972712998114,0,1911
2.8323165603078033,0,1912
2.8690402578131025,0,1913
2.8344819419397442,0,1914
2.8289820336017955,0,1915
2.7644386948135673,0,1916
2.6793027002136576,0,1917
2.75453593560326,0,1918
2.7517464339077167,0,1919
2.7612447230338346,0,1920
2.7750912841491777,0,1921
2.7784891312343305,0,1922
2.8541713771071144,0,1923
2.9460744534586816,0,1924
2.931579700593193,0,1925
2.969717698176583,0,1926
2.9327286510538864,0,1927
2.9845304101199726,0,1928
2.9554598052303036,0,1929
2.9770364442957993,0,1930
2.9744552623980827,0,1931
2.9990046152033427,0,1932
3.004967116418469,0,1933
3.0047847786782795,0,1934
2.979811186677783,0,1935
2.9887715516843625,0,1936
2.9928086484435434,0,1937
3.0179393160723547,0,1938
3.0427070581955356,0,1939
3.0938721516792205,0,1940
3.1999746331872125,0,1941
3.1345125691919686,0,1942
3.053563733251004,0,1943
3.064647149824595,0,1944
3.071850848403276,0,1945
3.1658677722028115,0,1946
3.1350274316435276,0,1947
3.077074906535512,0,1948
3.040356761328122,0,1949
2.9823439509413503,0,1950
2.884574933411134,0,1951
2.871437034735209,0,1952
2.844325393936201,0,1953
2.7758437747404527,0,1954
2.8455143746633187,0,1955
2.8346637662902916,0,1956
2.890523682117709,0,1957
2.9248519690955472,0,1958
2.9731942359409294,0,1959
2.9557162772487207,0,1960
2.952234421134583,0,1961
2.94597403260187,0,1962
2.976396188366055,0,1963
2.9838624686226893,0,1964
3.0340281752356932,0,1965
2.983678988559953,0,1966
2.9986377147839884,0,1967
2.959376727218319,0,1968
2.967410308468492,0,1969
2.905349901614886,0,1970
2.872341610037697,0,1971
2.8839415563512243,0,1972
2.9444844447717364,0,1973
2.940948123894744,0,1974
2.9636225571264054,0,1975
2.96260527398587,0,1976
2.992576880544311,0,1977
2.99049316086326,0,1978
2.989296656001508,0,1979
3.051361857211071,0,1980
3.114422917442681,0,1981
3.274329397148209,0,1982
3.2270361246092913,0,1983
3.2583032161888035,0,1984
3.296439266214551,0,1985
3.326612972281256,0,1986
3.3034111614227086,0,1987
3.237485980841595,0,1988
3.2380060340429493,0,1989
3.3748608021969293,0,1990
3.490629549252583,0,1991
3.557358025308008,1,1992
3.5553200224175714,1,1993
3.634549396192941,1,1994
3.6174910061843035,1,1995
3.7391567447016225,1,1996
3.905459168578386,1,1997
3.932251669631496,1,1998
3.9555823099297243,1,1999
3.9388343829514962,1,2000
3.8967415514035197,1,2001
3.9479114959543704,1,2002
3.9668673862451187,1,2003
4.051471657728031,1,2004
4.043158099253583,1,2005
4.035487955420788,1,2006
4.129226753627953,1,2007
4.159151947509252,1,2008
4.237205610272559,1,2009
4.248630665778583,1,2010
4.290708974728228,1,2011
4.176940828632284,1,2012
4.254620490457795,1,2013
4.288047014984607,1,2014
4.2589330559463,1,2015
4.293789370012875,1,2016
4.343469120741575,1,2017
4.400072127758229,1,2018
4.42288506382004,1,2019
4.322747833566694,1,2020
4.188435740891929,1,2021
4.157581338393308,1,2022
4.189323676293701,1,2023
4.1400912294992915,1,2024
