cutoffs,pct_chg,geometry
2.51181102362205,21.897588682354,"c(-72.228, 41.795)"
2.55826771653544,23.3847517172417,"c(-75.505, 39.147)"
1.90157480314961,39.5515334653379,"c(-66.992, 44.907)"
2.18110236220472,68.8032836316868,"c(-70.162, 44.699)"
2.12992125984252,76.818111285698,"c(-69.789, 44.22)"
1.51181102362205,41.4081263041852,"c(-70.246, 45.626)"
2.09842519685039,43.9649593858238,"c(-70.217, 44.1)"
2.03149606299213,34.3912874367951,"c(-69.889, 44.798)"
1.9488188976378,62.9615952732644,"c(-68.705, 45.65)"
2.03937007874016,82.383423122544,"c(-77.698, 39.64)"
2.42125984251969,56.7427049794464,"c(-76.9, 39.085)"
1.64173228346457,52.9077262737081,"c(-79.4, 39.413)"
2.5511811023622,17.7646429963735,"c(-75.682, 38.212)"
2.32917322834647,59.6404102755125,"c(-75.589, 38.365)"
2.61811023622047,14.5154766719802,"c(-75.376, 38.232)"
2.1496062992126,20.0483284174719,"c(-72.537, 42.386)"
2.40157480314961,62.8472902726059,"c(-71.114, 42.212)"
2.38976377952756,93.2538811206779,"c(-71.008, 42.048)"
2.38976377952756,59.2784194982219,"c(-70.67, 41.765)"
2.27165354330709,85.5460708939834,"c(-71.06, 42.759)"
2.38472440944882,-14.0338335829303,"c(-70.304, 41.665)"
2.27511811023623,77.6665291200837,"c(-71.166, 42.699)"
2.2992125984252,-1.70858314274337,"c(-71.364, 42.641)"
2.42173228346456,26.4042916973851,"c(-70.909, 41.882)"
2.51968503937008,44.4820582621884,"c(-70.696, 41.982)"
2.59842519685039,-22.9054130700172,"c(-71.066, 41.9)"
1.74641732283465,39.727636974632,"c(-71.186, 44.453)"
2.24015748031496,41.9981892741119,"c(-70.95, 43.142)"
1.46062992125984,33.4544306063646,"c(-71.291, 45.09)"
1.75259842519685,36.2617540550331,"c(-72.285, 43.705)"
1.8503937007874,120.50196030461,"c(-72.325, 42.939)"
2.05905511811024,72.2696471002376,"c(-71.474, 42.791)"
2.45519685039369,21.2632746869551,"c(-74.396, 40.892)"
2.16929133858268,51.242368081129,"c(-74.425, 41.03)"
2.68897637795276,47.9085750664193,"c(-74.882, 40.574)"
2.35724409448818,79.8244677696733,"c(-74.564, 40.266)"
2.38622047244094,12.3979485577424,"c(-74.78, 39.8)"
2.51740157480314,24.584242051435,"c(-74.002, 40.297)"
2.57874015748032,-4.83831076354345,"c(-74.865, 39.968)"
2.42913385826772,25.4997507063321,"c(-74.403, 40.604)"
2.49456692913385,21.8358879013242,"c(-74.653, 40.615)"
2.3265748031496,-16.6913821289388,"c(-74.621, 41.219)"
2.20866141732283,91.0460558810505,"c(-77.234, 42.101)"
1.64173228346457,13.4520850630922,"c(-77.766, 42.28)"
