cutoffs,geometry
1.59842519685039,"c(-75.635, 39.971)"
2.4488188976378,"c(-76.75, 39.917)"
2.03149606299213,"c(-71.543, 41.49)"
2.57874015748032,"c(-72.599, 43.385)"
1.94094488188976,"c(-73.211, 43.957)"
1.7007874015748,"c(-72.808, 44.909)"
1.57874015748032,"c(-72.978, 43.625)"
1.66141732283465,"c(-72.019, 44.42)"
1.56826771653542,"c(-72.507, 43.63)"
1.93433070866142,"c(-79.368, 39.273)"
1.7007874015748,"c(-81.194, 37.765)"
1.82232283464566,"c(-80.22, 38.98)"
1.72834645669291,"c(-80.352, 39.268)"
1.72047244094488,"c(-81.273, 38.963)"
1.83070866141732,"c(-80.135, 39.458)"
1.73814960629919,"c(-80.832, 38.934)"
1.7993307086614,"c(-82.184, 38.684)"
1.88188976377953,"c(-80.404, 37.857)"
1.80641732283465,"c(-81.984, 37.866)"
1.88188976377953,"c(-80.627, 40.526)"
1.72047244094488,"c(-79.634, 39.074)"
2.10657480314961,"c(-80.041, 39.146)"
1.7007874015748,"c(-78.771, 39.339)"
1.85826771653543,"c(-79.67, 39.342)"
1.83401574803148,"c(-81.358, 38.801)"
1.83070866141732,"c(-80.534, 37.544)"
1.7007874015748,"c(-80.472, 39.044)"
1.7992125984252,"c(-80.308, 37.788)"
1.72047244094488,"c(-74.424, 39.378)"
2.38377952755905,"c(-74.169, 40.683)"
2.4488188976378,"c(-72.651, 41.735)"
2.24783464566929,"c(-75.989, 40.316)"
2.24015748031496,"c(-73.969, 40.779)"
